sku,name,line,price_usd,cost_usd,inventory_on_hand,restock_date,subscription_eligible,launch_date,status
SOL-001,Solstice Vitamin C Serum,Solstice,68,20.18,0,2026-09-15,yes,2024-04-08,active
SOL-002,Solstice Brightening Serum,Solstice,64,15.15,819,,yes,2022-10-14,active
SOL-003,Solstice Eye Serum,Solstice,52,11.64,783,,yes,2023-04-17,active
SOL-004,Solstice Face Oil,Solstice,58,16.95,2698,,yes,2023-12-21,active
SOL-005,Solstice Day Cream SPF30,Solstice,46,13.99,2118,,yes,2023-08-19,active
SOL-006,Solstice Night Cream,Solstice,54,13.68,426,,yes,2023-12-14,active
SOL-007,Solstice Essence Toner,Solstice,38,9.91,1036,,no,2023-06-04,active
SOL-008,Solstice Cleansing Balm,Solstice,34,7.86,796,,no,2024-06-20,active
SOL-009,Solstice Sheet Mask 4-pack,Solstice,28,7.05,577,,no,2025-09-04,active
SOL-010,Solstice Travel Trio,Solstice,42,14.14,1950,,no,2022-09-10,active
SOL-011,Solstice Peptide Serum,Solstice,72,23.01,2933,,yes,2024-10-07,active
SOL-012,Solstice Renewal Ampoules,Solstice,78,23.75,587,,yes,2023-05-03,active
SOL-013,Solstice Micro Exfoliant,Solstice,40,12.91,813,,no,2025-05-15,active
SOL-014,Solstice Lip Treatment,Solstice,22,6.52,1894,,no,2023-06-12,active
MID-015,Midnight Body Oil,Midnight,44,10.79,5200,,no,2022-10-21,active
MID-016,Midnight Body Butter,Midnight,36,8.66,1402,,no,2023-08-13,active
MID-017,Midnight Hand Cream,Midnight,18,4.54,2681,,no,2023-11-11,active
MID-018,Midnight Body Wash,Midnight,24,7.71,629,,no,2023-01-26,active
MID-019,Midnight Body Scrub,Midnight,30,7.74,1496,,no,2022-04-19,active
MID-020,Midnight Bath Soak,Midnight,32,10.41,1688,,no,2023-11-16,active
MID-021,Midnight Body Serum,Midnight,48,12.84,2279,,no,2023-05-05,active
MID-022,Midnight Foot Balm,Midnight,20,4.99,2699,,no,2024-12-19,active
MID-023,Midnight Massage Candle,Midnight,38,10.31,2790,,no,2025-06-08,active
MID-024,Midnight Dry Brush,Midnight,16,5.43,966,,no,2025-02-25,active
MID-025,Midnight Body Mist,Midnight,26,5.87,849,,no,2023-11-06,active
MID-026,Midnight Stretch Cream,Midnight,34,10.71,2129,,no,2022-07-13,active
MID-027,Midnight Gift Set,Midnight,68,19.82,2317,,no,2024-09-28,active
MID-028,Midnight Mini Duo,Midnight,28,9.33,869,,no,2024-11-11,active
MID-029,Midnight Neck Cream,Midnight,42,9.8,2180,,no,2023-08-01,active
MID-030,Midnight Cuticle Oil,Midnight,14,4.68,1478,,no,2023-09-04,active
TER-031,Terra Clay Mask,Terra,32,10.38,1622,,no,2023-03-12,active
TER-032,Terra Enzyme Mask,Terra,36,11.21,2609,,no,2022-10-11,active
TER-033,Terra Detox Mask,Terra,34,9.47,858,,no,2024-05-08,active
TER-034,Terra Overnight Mask,Terra,38,8.62,2723,,no,2022-02-24,active
TER-035,Terra Charcoal Cleanser,Terra,26,7.24,683,,no,2023-03-22,active
TER-036,Terra Green Tea Mist,Terra,24,6.65,2651,,no,2023-05-17,active
TER-037,Terra Rose Mist,Terra,24,7.79,2133,,no,2023-09-25,active
TER-038,Terra Jade Roller,Terra,22,6.77,1223,,no,2024-07-22,active
TER-039,Terra Gua Sha,Terra,20,5.96,2194,,no,2025-02-08,active
TER-040,Terra Konjac Sponge,Terra,12,2.96,1784,,no,2022-10-18,active
TER-041,Terra Headband,Terra,14,3.47,1302,,no,2022-02-23,active
TER-042,Terra Mask Brush,Terra,10,2.96,1337,,no,2022-01-28,active
TER-043,Terra Mask Duo,Terra,54,14.02,2505,,no,2023-05-22,active
TER-044,Terra Starter Kit,Terra,48,13.36,2608,,no,2023-12-19,active
TER-045,Terra Mud Cleanser,Terra,28,8.1,1395,,no,2025-07-07,active
TER-046,Terra Balancing Toner,Terra,30,6.94,2165,,no,2024-07-14,active
TER-047,Terra Pore Strips,Terra,16,4.42,621,,no,2022-01-13,active
TER-048,Terra Calm Mist,Terra,26,7.99,847,,no,2023-04-07,active
